Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nn,00329603,7,"Thursday, March 17, 2011 21:23:59 UTC",36.1515,-115.6847,1.4,4.20,12,"Nevada"
us,c00025gz,9,"Thursday, March 17, 2011 21:06:31 UTC",35.6932,141.2797,4.9,41.10,155,"near the east coast of Honshu, Japan"
ci,10910093,2,"Thursday, March 17, 2011 21:01:49 UTC",34.4735,-117.7298,2.0,35.00,17,"Southern California"
ci,10910077,2,"Thursday, March 17, 2011 20:20:38 UTC",33.3173,-117.4208,1.6,0.00,19,"Southern California"
hv,60223991,1,"Thursday, March 17, 2011 20:15:17 UTC",18.7758,-155.2768,2.2,10.30,35,"Hawaii region, Hawaii"
nc,71544481,0,"Thursday, March 17, 2011 19:43:40 UTC",37.8947,-122.1770,1.1,10.90,12,"San Francisco Bay area, California"
nm,031711g,A,"Thursday, March 17, 2011 19:15:54 UTC",35.2768,-92.3372,2.4,4.20,11,"Arkansas"
us,c00025cq,5,"Thursday, March 17, 2011 19:05:44 UTC",36.1908,141.7498,5.0,36.50,147,"near the east coast of Honshu, Japan"
us,c00025c9,5,"Thursday, March 17, 2011 18:55:37 UTC",37.1754,142.2912,5.6,29.80,298,"off the east coast of Honshu, Japan"
nc,71544466,1,"Thursday, March 17, 2011 18:45:34 UTC",36.6177,-121.2273,1.6,5.60,24,"Central California"
nc,71544461,1,"Thursday, March 17, 2011 18:41:32 UTC",38.8138,-122.7937,1.8,3.40,40,"Northern California"
nc,71544456,4,"Thursday, March 17, 2011 18:25:47 UTC",35.6763,-120.9903,1.2,0.00, 9,"Central California"
nc,71544436,3,"Thursday, March 17, 2011 18:13:23 UTC",36.6188,-121.2245,2.1,5.30,48,"Central California"
ak,10193436,1,"Thursday, March 17, 2011 18:06:11 UTC",63.5764,-147.3944,1.3,2.50,12,"Central Alaska"
us,c00025a0,A,"Thursday, March 17, 2011 18:01:19 UTC",37.7008,144.4089,5.0,23.20,210,"off the east coast of Honshu, Japan"
nm,031711f,A,"Thursday, March 17, 2011 17:59:47 UTC",35.2410,-92.3918,3.0,5.00,16,"Arkansas"
ci,10910053,4,"Thursday, March 17, 2011 17:54:32 UTC",34.1517,-117.4663,1.4,9.50,70,"Greater Los Angeles area, California"
us,c000258y,8,"Thursday, March 17, 2011 17:31:55 UTC",37.7131,143.4335,5.0,30.00,162,"off the east coast of Honshu, Japan"
nc,71544421,4,"Thursday, March 17, 2011 17:30:47 UTC",36.6212,-121.2288,3.0,5.80,79,"Central California"
nc,71544416,3,"Thursday, March 17, 2011 17:21:39 UTC",36.6202,-121.2293,2.2,5.90,56,"Central California"
nc,71544411,4,"Thursday, March 17, 2011 17:18:30 UTC",36.6220,-121.2293,3.3,6.00,78,"Central California"
ak,10193402,1,"Thursday, March 17, 2011 17:15:17 UTC",63.5871,-147.2984,2.9,0.30,38,"Central Alaska"
ak,10193394,2,"Thursday, March 17, 2011 17:05:13 UTC",58.3072,-137.6711,4.1,13.60,54,"Southeastern Alaska"
us,c000257x,5,"Thursday, March 17, 2011 16:58:16 UTC",40.4882,143.3807,4.6,28.50,18,"off the east coast of Honshu, Japan"
nn,00329555,7,"Thursday, March 17, 2011 16:54:41 UTC",36.7042,-115.3503,1.8,7.80,13,"Nevada"
us,c000257e,5,"Thursday, March 17, 2011 16:44:34 UTC",35.8812,141.3864,4.9,41.70,161,"near the east coast of Honshu, Japan"
us,c000256x,3,"Thursday, March 17, 2011 16:27:24 UTC",38.0124,144.4506,4.8,24.30,24,"off the east coast of Honshu, Japan"
ak,10193367,1,"Thursday, March 17, 2011 16:06:00 UTC",60.5578,-144.9142,2.2,4.60,10,"Southern Alaska"
ak,10193364,1,"Thursday, March 17, 2011 16:05:09 UTC",60.5352,-144.7104,2.0,1.60,22,"Southern Alaska"
us,c000255s,9,"Thursday, March 17, 2011 16:00:37 UTC",36.6347,142.0690,4.9,34.40,169,"off the east coast of Honshu, Japan"
nc,71544381,0,"Thursday, March 17, 2011 15:54:49 UTC",38.8098,-122.7915,1.1,3.70,23,"Northern California"
us,c000256d,3,"Thursday, March 17, 2011 15:51:55 UTC",35.9938,140.7479,4.7,34.00,22,"near the east coast of Honshu, Japan"
uw,03171550,1,"Thursday, March 17, 2011 15:50:13 UTC",47.6596,-120.1293,1.2,6.30, 3,"Washington"
nc,71544371,1,"Thursday, March 17, 2011 15:46:59 UTC",38.8100,-122.7900,1.4,3.50,29,"Northern California"
us,c000254v,6,"Thursday, March 17, 2011 15:34:33 UTC",40.5116,79.0567,5.0,18.70,114,"southern Xinjiang, China"
nc,71544341,5,"Thursday, March 17, 2011 15:29:27 UTC",38.8092,-122.7885,3.1,4.10,79,"Northern California"
nn,00329546,7,"Thursday, March 17, 2011 15:05:48 UTC",37.6533,-116.6383,1.2,7.90, 7,"Nevada"
us,2011ipch,C,"Thursday, March 17, 2011 15:00:28 UTC",40.1747,142.3322,4.8,37.60,45,"near the east coast of Honshu, Japan"
mb,26645,1,"Thursday, March 17, 2011 14:50:28 UTC",45.2313,-112.7031,1.3,0.00,18,"western Montana"
nc,71544326,2,"Thursday, March 17, 2011 14:43:18 UTC",35.7847,-120.3208,1.2,4.00,37,"Central California"
nc,71544306,2,"Thursday, March 17, 2011 14:14:44 UTC",35.7000,-121.1558,1.3,5.90,14,"Central California"
us,c000253d,5,"Thursday, March 17, 2011 14:04:26 UTC",37.6009,143.7803,4.8,25.00,41,"off the east coast of Honshu, Japan"
us,c000252s,6,"Thursday, March 17, 2011 13:37:34 UTC",36.1128,141.9293,4.8,33.80,46,"near the east coast of Honshu, Japan"
nn,00329534,7,"Thursday, March 17, 2011 13:35:20 UTC",37.6293,-116.5772,1.2,8.00,11,"Nevada"
nc,71544276,3,"Thursday, March 17, 2011 13:28:34 UTC",38.8097,-122.7907,2.7,3.90,81,"Northern California"
us,c000252e,6,"Thursday, March 17, 2011 12:54:52 UTC",36.7657,141.3074,5.9,25.10,94,"near the east coast of Honshu, Japan"
nm,031711b,A,"Thursday, March 17, 2011 12:42:08 UTC",35.2690,-92.3432,2.0,4.70, 5,"Arkansas"
ci,10909941,4,"Thursday, March 17, 2011 12:35:27 UTC",33.2253,-116.7428,1.1,12.80,40,"Southern California"
nm,031711a,A,"Thursday, March 17, 2011 12:34:24 UTC",35.2713,-92.3367,2.4,3.70,10,"Arkansas"
us,c0002522,8,"Thursday, March 17, 2011 12:32:02 UTC",35.5229,140.7440,5.6,21.00,239,"near the east coast of Honshu, Japan"
ak,10193293,1,"Thursday, March 17, 2011 12:23:06 UTC",61.2671,-149.2622,1.8,29.00,12,"Southern Alaska"
nc,71544251,2,"Thursday, March 17, 2011 12:17:51 UTC",36.5510,-121.0712,1.5,5.60,20,"Central California"
us,c000251t,5,"Thursday, March 17, 2011 12:16:04 UTC",37.7118,144.2152,4.7,25.00,23,"off the east coast of Honshu, Japan"
ak,10193287,1,"Thursday, March 17, 2011 11:28:15 UTC",63.0983,-149.0862,1.5,78.10,14,"Central Alaska"
us,c0002513,8,"Thursday, March 17, 2011 11:14:24 UTC",-32.5183,-71.5371,5.1,19.20,114,"offshore Valparaiso, Chile"
us,c0002512,6,"Thursday, March 17, 2011 11:09:59 UTC",38.8838,142.4426,4.6,24.90,44,"near the east coast of Honshu, Japan"
nc,71544241,0,"Thursday, March 17, 2011 11:08:40 UTC",38.7808,-122.7005,1.8,0.10, 6,"Northern California"
us,c000250v,7,"Thursday, March 17, 2011 10:52:42 UTC",25.3238,-109.6959,4.2,10.00,80,"Gulf of California"
nc,71544236,0,"Thursday, March 17, 2011 10:49:12 UTC",38.7813,-122.7578,1.2,1.70,13,"Northern California"
us,c000250u,6,"Thursday, March 17, 2011 10:44:02 UTC",37.4725,143.2384,4.8,31.50,81,"off the east coast of Honshu, Japan"
ak,10193280,1,"Thursday, March 17, 2011 10:40:03 UTC",61.5732,-148.2231,1.6,14.90, 8,"Southern Alaska"
nc,71544231,0,"Thursday, March 17, 2011 10:31:46 UTC",38.8083,-122.7947,1.1,1.50,11,"Northern California"
nc,71544226,0,"Thursday, March 17, 2011 10:13:08 UTC",36.8665,-121.4433,1.5,3.60,12,"Central California"
nc,71544206,1,"Thursday, March 17, 2011 09:43:39 UTC",38.8055,-122.7955,1.2,3.60,27,"Northern California"
ak,10193260,1,"Thursday, March 17, 2011 09:07:29 UTC",63.9452,-148.8073,1.4,0.00,14,"Central Alaska"
us,c0002508,9,"Thursday, March 17, 2011 09:05:58 UTC",40.2399,142.3327,5.0,25.30,125,"near the east coast of Honshu, Japan"
us,c0002505,A,"Thursday, March 17, 2011 08:59:42 UTC",40.3443,142.3706,4.9,40.20,92,"near the east coast of Honshu, Japan"
nc,71544186,3,"Thursday, March 17, 2011 08:56:13 UTC",38.8363,-122.8302,1.6,2.50,51,"Northern California"
us,c00024zy,5,"Thursday, March 17, 2011 08:44:54 UTC",38.4275,142.0384,4.8,53.90,121,"near the east coast of Honshu, Japan"
us,c00024zq,7,"Thursday, March 17, 2011 08:28:28 UTC",53.2440,159.3641,5.1,74.60,46,"near the east coast of the Kamchatka Peninsula, Russia"
us,c00024zn,8,"Thursday, March 17, 2011 08:25:26 UTC",36.6981,141.7618,5.3,29.30,288,"near the east coast of Honshu, Japan"
us,c00024zj,8,"Thursday, March 17, 2011 08:03:04 UTC",-17.2831,167.8987,5.8,27.80,194,"Vanuatu"
hv,60223926,1,"Thursday, March 17, 2011 07:46:46 UTC",19.4042,-155.2800,1.8,0.50,10,"Island of Hawaii, Hawaii"
nc,71544156,3,"Thursday, March 17, 2011 07:35:54 UTC",35.5502,-120.7917,2.1,4.60,74,"Central California"
pr,11076000,0,"Thursday, March 17, 2011 07:12:14 UTC",19.0520,-66.4599,2.8,38.00,11,"Puerto Rico region"
nn,00329509,7,"Thursday, March 17, 2011 07:07:42 UTC",37.3629,-117.0926,1.3,6.90,13,"Nevada"
us,c00024zb,5,"Thursday, March 17, 2011 07:03:44 UTC",37.3589,142.7269,4.7,21.90,57,"off the east coast of Honshu, Japan"
us,c00024za,7,"Thursday, March 17, 2011 07:00:12 UTC",38.7263,143.8703,4.9,46.00,91,"off the east coast of Honshu, Japan"
nc,71544136,1,"Thursday, March 17, 2011 06:44:41 UTC",40.3868,-125.0578,2.9,1.30,35,"offshore Northern California"
us,c00024z7,5,"Thursday, March 17, 2011 06:42:46 UTC",38.7086,143.9109,5.2,36.40,109,"off the east coast of Honshu, Japan"
ci,10909885,4,"Thursday, March 17, 2011 06:30:49 UTC",36.0155,-118.8770,1.9,11.50,25,"Central California"
nc,71544126,1,"Thursday, March 17, 2011 06:27:02 UTC",38.8253,-122.8315,1.4,2.80,29,"Northern California"
us,c00024yx,8,"Thursday, March 17, 2011 06:24:31 UTC",37.2487,142.2929,5.3,24.90,270,"off the east coast of Honshu, Japan"
ci,10909877,4,"Thursday, March 17, 2011 06:24:11 UTC",34.4105,-118.7733,1.9,13.20,55,"Greater Los Angeles area, California"
us,c00024yv,4,"Thursday, March 17, 2011 06:19:42 UTC",37.5980,143.4621,4.6,25.00,34,"off the east coast of Honshu, Japan"
us,c00024yp,7,"Thursday, March 17, 2011 06:12:42 UTC",37.7549,143.4506,5.7,25.00,91,"off the east coast of Honshu, Japan"
nn,00329500,7,"Thursday, March 17, 2011 06:11:43 UTC",39.0255,-118.8156,1.7,7.80,11,"Nevada"
nc,71544101,3,"Thursday, March 17, 2011 05:55:34 UTC",35.6872,-121.1167,3.0,4.70,72,"Central California"
nn,00329497,7,"Thursday, March 17, 2011 05:36:57 UTC",37.3917,-117.1017,1.4,9.90,11,"Nevada"
nc,71544091,1,"Thursday, March 17, 2011 05:33:31 UTC",38.8053,-122.7905,2.3,2.20,46,"Northern California"
nc,71544096,2,"Thursday, March 17, 2011 05:32:33 UTC",37.2082,-122.1192,1.6,11.40,42,"Northern California"
nn,00329495,7,"Thursday, March 17, 2011 05:30:15 UTC",39.0214,-118.8210,1.8,9.40, 9,"Nevada"
ci,10909861,2,"Thursday, March 17, 2011 05:07:20 UTC",36.4130,-117.8487,1.1,8.90,10,"Central California"
us,c00024y9,8,"Thursday, March 17, 2011 05:07:00 UTC",38.0272,143.5426,5.2,25.40,155,"off the east coast of Honshu, Japan"
ci,10909853,4,"Thursday, March 17, 2011 04:58:55 UTC",33.1943,-115.5875,1.7,0.00,16,"Southern California"
